Wall time,Step,Value
1670576181,5789,461
1670576183,5795,409
1670576187,5807,137
1670576187,5808,667
1670576191,5825,-20
1670576192,5828,-160
1670576194,5835,361
1670576197,5847,366
1670576201,5862,150
1670576202,5864,321
1670576204,5871,273
1670576207,5881,252
1670576209,5889,243
1670576209,5891,600
1670576210,5893,532
1670576212,5898,907
1670576214,5907,923
1670576217,5917,246
1670576217,5918,252
1670576220,5928,765
1670576221,5932,273
1670576222,5933,-91
1670576226,5952,309
1670576228,5957,484
1670576228,5959,178
1670576229,5963,365
1670576232,5972,355
1670576236,5990,123
1670576241,6010,149
1670576243,6015,457
1670576245,6024,-55
1670576247,6030,-48
1670576247,6031,673
1670576247,6032,171
1670576249,6035,-48
1670576250,6038,1024
1670576255,6060,149
1670576259,6077,273
1670576260,6078,15
1670576261,6082,591
1670576262,6087,505
1670576264,6094,562
1670576266,6103,322
1670576266,6105,502
1670576269,6115,23
1670576271,6121,435
1670576271,6123,89
1670576273,6129,527
1670576273,6131,103
1670576274,6133,643
1670576277,6145,406
1670576278,6147,706
1670576278,6149,210
1670576285,6172,545
1670576287,6181,115
1670576288,6184,-113
1670576293,6200,260
1670576295,6210,5
1670576296,6211,303
1670576296,6213,323
1670576298,6219,490
1670576299,6225,178
1670576301,6232,410
1670576303,6237,55
1670576304,6244,589
1670576306,6250,607
1670576310,6263,48
1670576312,6270,458
1670576317,6289,260
1670576322,6309,343
1670576323,6312,119
1670576324,6316,382
1670576324,6317,64
1670576326,6324,723
1670576331,6341,171
1670576333,6352,198
1670576336,6363,-42
1670576338,6370,179
1670576340,6376,326
1670576346,6400,82
1670576351,6423,473
1670576357,6447,359
1670576359,6455,248
1670576360,6459,17
1670576364,6472,411
1670576367,6483,-106
1670576368,6487,247
1670576370,6495,242
1670576370,6496,541
1670576372,6500,580
1670576373,6509,124
1670576374,6510,228
1670576376,6520,34
1670576376,6521,422
1670576376,6522,117
1670576378,6530,435
1670576379,6534,151
1670576383,6550,36
1670576389,6574,-15
